id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
835,1605,7.0,13.0,,CHINA:  GUANGDONG PROVINCE,19.9,110.5,7.5,,4.0,,True,4.0,CHINA,4.0,,10.0
1115,1688,7.0,10.0,11.0,TURKEY:  IZMIR,38.4,26.9,7.0,,3.0,,True,3.0,TURKEY,4.0,,10.0
2592,1901,6.0,24.0,7.0,JAPAN:  RYUKYU ISLANDS,27.0,130.0,7.9,60.0,,,True,,JAPAN,,,
3088,1917,7.0,4.0,0.0,TAIWAN:  NE OF TAIWAN,25.0,123.0,7.7,60.0,,,True,,TAIWAN,,,
5126,1987,2.0,8.0,18.0,"PAPUA NEW GUINEA:  HUON PENINSULA, UMBOI ISLAND",-6.088,147.689,7.6,55.0,2.0,2.625,True,3.0,PAPUA NEW GUINEA,1.0,,7.0
5261,1990,10.0,18.0,9.0,SOUTH AFRICA:  CHARLETONVILLE,-26.39,27.349,4.0,5.0,,,True,,SOUTH AFRICA,1.0,1.0,
10056,2013,11.0,28.0,13.0,IRAN:  BORAZJAN,29.32,51.31,5.8,8.0,2.0,,True,3.0,IRAN,1.0,3.0,5.0
945,1640,2.0,27.0,,IRAN:  TABRIZ,38.2,46.3,5.1,15.0,2.0,,True,,IRAN,,,7.0
6035,1761,3.0,30.0,23.0,"PORTUGAL: LISBON, PORTO",34.5,-13.0,8.5,,2.0,,True,3.0,PORTUGAL,1.0,,9.0
5801,2004,9.0,7.0,12.0,CHINA:  GANSU PROVINCE,34.682,103.781,5.2,10.0,3.0,,True,3.0,CHINA,,1.0,
8057,1960,11.0,9.0,10.0,CHINA:  SICHUAN PROVINCE,32.7,103.7,6.8,,3.0,,True,3.0,CHINA,,,9.0
10272,2017,10.0,31.0,0.0,NEW CALEDONIA:  LOYALTY ISLANDS,-21.697,169.149,6.7,24.0,,,True,,NEW CALEDONIA,,,3.0
3853,1947,5.0,6.0,20.0,PAPUA NEW GUINEA:  NEW BRITAIN,-6.5,148.5,7.3,33.0,,,True,,PAPUA NEW GUINEA,,,
6435,1971,9.0,6.0,13.0,RUSSIA:  KHOLMSK,46.7,141.4,5.5,29.0,,,True,,RUSSIA,,,
5495,1998,5.0,30.0,6.0,"AFGHANISTAN:  BADAKHSHAN, TAKHAR",37.106,70.11,6.6,33.0,3.0,10.0,True,4.0,AFGHANISTAN,4.0,4.0,
10625,1843,9.0,14.0,10.0,BALKANS NW:  CROATIA:  DUBROVNIK,42.6,18.1,6.5,,2.0,,True,,CROATIA,,,7.0
910,1627,7.0,30.0,10.0,ITALY:  LESINA,41.733,15.35,6.7,,,,True,,ITALY,4.0,,10.0
5811,2004,11.0,15.0,9.0,"COLOMBIA:  BAJO BAUDO, BUENAVENTURA, CERRITO",4.695,-77.508,7.2,15.0,3.0,,True,3.0,COLOMBIA,,1.0,
5664,2002,11.0,20.0,21.0,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,6.3,33.0,3.0,,True,2.0,PAKISTAN,1.0,1.0,
5084,1985,11.0,7.0,8.0,"TURKEY:  ERZURUM, KARS, AGRI, ARTVIN",40.31,42.307,4.2,33.0,2.0,,True,3.0,TURKEY,,1.0,
200,814,4.0,2.0,,CHINA:  SICHUAN PROVINCE:  XICHANG,27.9,102.2,7.0,,1.0,,True,,CHINA,3.0,,
744,1562,10.0,28.0,10.0,CHILE,-38.7,-73.5,8.0,,3.0,,True,,CHILE,,,11.0
3396,1929,6.0,16.0,22.0,NEW ZEALAND:  SOUTH ISLAND,-41.75,172.25,7.5,,2.0,,True,3.0,NEW ZEALAND,1.0,,
5818,2004,11.0,28.0,18.0,"JAPAN:  HOKKAIDO:  BEKKAI, KUSHIRO, NEMOURO",43.006,145.119,7.0,39.0,1.0,,True,,JAPAN,,1.0,
3716,1942,11.0,10.0,11.0,SOUTH AFRICA:  PRINCE EDWARD ISLAND,-49.5,32.0,7.9,25.0,,,True,,SOUTH AFRICA,,,
1849,1843,4.0,25.0,,"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO",42.0,146.0,8.4,,1.0,,True,2.0,JAPAN,,,
2807,1907,4.0,18.0,20.0,PHILIPPINES:  SE LUZON:  CAMARINES,14.0,123.0,7.6,,3.0,,True,,PHILIPPINES,1.0,1.0,9.0
